ID,Name,Area
182,Manuel Neuer,Germany
183,Bastian Schweinsteiger,Germany
184,Franz Beckenbauer,Germany
185,Jürgen Klopp,Germany
186,Oliver Kahn,Germany
187,Priyanka Chopra,India
188,Shah Rukh Khan,India
189,Deepika Padukone,India
190,Amitabh Bachchan,India
191,Aishwarya Rai,India
192,Kareena Kapoor,India
193,Salman Khan,India
194,Alia Bhatt,India
195,Katrina Kaif,India
196,Jackie Chan,China
197,Fan Bingbing,China
198,Jet Li,China
199,Donnie Yen,China
200,Li Bingbing,China
201,Chow Yun-fat,China
202,Zhang Ziyi,China
203,Jay Chou,China
204,Stephen Chow,China
205,Andy Lau,China
206,Sophia Loren,Italy
207,Monica Bellucci,Italy
208,Giancarlo Giannini,Italy
209,Marcello Mastroianni,Italy
210,Gina Lollobrigida,Italy
211,Monica Vitti,Italy
212,Claudia Cardinale,Italy
213,Marion Cotillard,France
214,Catherine Deneuve,France
215,Juliette Binoche,France
216,Brigitte Bardot,France
217,Isabelle Huppert,France
218,Alain Delon,France
219,Monica Bellucci,France
220,Léa Seydoux,France
221,Mélanie Laurent,France
222,Rafael Nadal,Spain
223,Rosalia,Spain
224,Penélope Cruz,Spain
225,Pedro Almodóvar,Spain
226,Enrique Iglesias,Spain
227,Sergio Ramos,Spain
228,Javier Bardem,Spain
229,Lee Jun-ki,North Europe
230,Jens Stoltenberg,North Europe
231,Erna Solberg,North Europe
232,Jacinda Ardern,North Europe
233,Mette Frederiksen,North Europe
234,Li Bingbing,Korea
235,Lee Min-ho,Korea
236,Lee Byung-hun,Korea
237,Lee Jong-suk,Korea
238,Park Bo-gum,Korea
239,Gong Yoo,Korea
240,Vladimir Putin,Russia
241,Dmitry Medvedev,Russia
242,Tony Fernandes,South East Asia
243,Anthony Tan,South East Asia
244,Barack Obama,USA
245,Shinzo Abe,Japan
246,Tony Blair,UK
247,Jacques Chirac,France
248,Narendra Modi,India
249,Joko Widodo,Indonesia
250,Justin Trudeau,Canada
251,Benjamin Netanyahu,Israel
252,Recep Tayyip Erdoğan,Turkey
253,George W. Bush,USA
254,Hu Jintao,China
255,Boris Johnson,UK
256,Aung San Suu Kyi,Myanmar
257,Fidel Castro,Cuba
258,Albert II,Monaco
259,Angélica Rivera,Mexico
260,Nelson Mandela,South Africa
261,Shimon Peres,Israel
262,Emmanuel Macron,France
263,Donald Trump,USA
264,Jacinda Ardern,New Zealand
265,Xi Jinping,China
266,Jair Bolsonaro,Brazil
267,Theresa May,UK
268,Abdel Fattah el-Sisi,Egypt
269,Moon Jae-in,South Korea
270,Mahathir Mohamad,Malaysia
271,Enrique Peña Nieto,Mexico
272,King Abdullah II,Jordan
273,Imran Khan,Pakistan
274,Abiy Ahmed,Ethiopia
275,Scott Morrison,Australia
276,Hassan Rouhani,Iran
277,Emmerson Mnangagwa,Zimbabwe
278,Andrés Manuel López Obrador,Mexico
279,Leo Varadkar,Ireland
280,Khalifa bin Zayed Al Nahyan,United Arab Emirates
281,Paul Kagame,Rwanda
282,Salman bin Abdulaziz Al Saud,Saudi Arabia
283,Gotabaya Rajapaksa,Sri Lanka
284,Donald Tusk,Poland
285,Andrzej Duda,Poland
286,Ivan Duque,Colombia
287,Albert II,Belgium
288,Haitham bin Tariq Al Said,Oman
289,Carlos Alvarado Quesada,Costa Rica
290,Lee Hsien Loong,Singapore
291,Miguel Díaz-Canel,Cuba
292,Nicolás Maduro,Venezuela
293,Frank-Walter Steinmeier,Germany
294,King Salman bin Abdulaziz Al Saud,Saudi Arabia
295,Nana Akufo-Addo,Ghana
296,Prince Charles,UK
297,Hassanal Bolkiah,Brunei
298,Reuven Rivlin,Israel
299,Ram Nath Kovind,India
300,Mohammed VI,Morocco
301,Abdullah II of Jordan,Jordan
302,Sauli Niinistö,Finland
303,Abdelmadjid Tebboune,Algeria
304,King Abdullah II of Jordan,Jordan
305,Prince Mohammed bin Salman,Saudi Arabia
306,Lionel Messi,Argentina
307,Cristiano Ronaldo,Portugal
308,Andrés Iniesta,Spain
309,Luka Modric,Croatia
310,Zinedine Zidane,France
311,Ronaldo Nazário,Brazil
312,Xavi Hernandez,Spain
313,Roberto Carlos,Brazil
314,Thierry Henry,France
315,Paolo Maldini,Italy
316,Steven Gerrard,England
317,Andrea Pirlo,Italy
318,David Beckham,England
319,Kaka,Brazil
320,Ronaldinho,Brazil
321,Gianluigi Buffon,Italy
322,Andrea Barzagli,Italy
323,Carles Puyol,Spain
324,Alessandro Del Piero,Italy
325,Diego Maradona,Argentina
326,Michel Platini,France
327,Zico,Brazil
328,Marco van Basten,Netherlands
329,Johan Cruyff,Netherlands
330,Franco Baresi,Italy
331,Eric Cantona,France
332,Fernando Hierro,Spain
333,Luís Figo,Portugal
334,George Weah,Liberia
335,Dennis Bergkamp,Netherlands
336,Romário,Brazil
337,Mario Kempes,Argentina
338,Hristo Stoichkov,Bulgaria
339,Lothar Matthäus,Germany
340,Gabriel Batistuta,Argentina
341,Marcus Rashford,England
342,Neymar,Brazil
343,Kylian Mbappé,France
344,Andres Guardado,Mexico
345,Roberto Baggio,Italy
346,Fabio Cannavaro,Italy
347,Luca Toni,Italy
348,Gareth Bale,Wales
349,Didier Drogba,Ivory Coast
350,Lev Yashin,Russia
351,Paul Pogba,France
352,Franck Ribéry,France
353,Karl-Heinz Rummenigge,Germany
354,Davor Šuker,Croatia
355,Ruud Gullit,Netherlands
356,Javier Zanetti,Argentina
357,Michael Owen,England
358,Jurgen Klinsmann,Germany
359,Rivaldo,Brazil
360,Johan Neeskens,Netherlands
361,Arjen Robben,Netherlands
362,Marco Tardelli,Italy
363,Andriy Shevchenko,Ukraine
364,Philip Lahm,Germany
365,David Villa,Spain
366,Luis Suárez,Uruguay
367,François Pienaar,South Africa
368,Zlatan Ibrahimović,Sweden
369,Landon Donovan,United States
370,Diego Forlán,Uruguay
371,Patrick Vieira,France
372,Petr Čech,Czech Republic
373,Clarence Seedorf,Netherlands
374,Javier Hernández,Mexico
375,Paul Scholes,England
376,Andriy Arshavin,Russia
377,Didier Deschamps,France
378,Giorgio Chiellini,Italy
379,Hernán Crespo,Argentina
380,Cafu,Brazil
381,Alessandro Nesta,Italy
382,Wayne Rooney,England
383,Jürgen Klinsmann,Germany
384,Harry Kane,England
385,Karim Benzema,France
386,Jerzy Dudek,Poland
387,Jürgen Kohler,Germany
388,Óscar Tabárez,Uruguay
389,Andriy Yarmolenko,Ukraine
390,Bernard Lama,France
391,Mario Balotelli,Italy
392,Fernando Torres,Spain
393,Robert Lewandowski,Poland
394,Kevin De Bruyne,Belgium
395,Eden Hazard,Belgium
396,Radamel Falcao,Colombia
397,Jeff Bezos,USA
398,Elon Musk,USA
399,Bill Gates,USA
400,Bernard Arnault,France
401,Warren Buffett,USA
402,Larry Ellison,USA
403,Larry Page,USA
404,Sergey Brin,USA
405,Mark Zuckerberg,USA
406,Mukesh Ambani,India
407,Steve Ballmer,USA
408,Amancio Ortega,Spain
409,Carlos Slim,Mexico
410,Michael Bloomberg,USA
411,Lakshmi Mittal,India
412,Françoise Bettencourt Meyers,France
413,Jack Ma,China
414,Phil Knight,USA
415,Jim Walton,USA
416,Alice Walton,USA
417,Rob Walton,USA
418,Michael Dell,USA
419,Sheldon Adelson,USA
420,Steve Cohen,USA
421,George Soros,Hungary
422,Charles Koch,USA
423,David Koch,USA
424,Jim Simons,USA
425,Leonardo Del Vecchio,Italy
426,Carl Icahn,USA
427,Len Blavatnik,UK
428,Joseph Safra,Brazil
429,MacKenzie Scott,USA
430,Abigail Johnson,USA
431,Li Ka-shing,Hong Kong
432,Jorge Paulo Lemann,Brazil
433,Ray Dalio,USA
434,Theo Albrecht Jr.,Germany
435,Lee Shau Kee,Hong Kong
436,Gennady Timchenko,Russia
437,Gautam Adani,India
438,Pony Ma,China
439,Laurene Powell Jobs,USA
440,He Xiangjian,China
441,Dieter Schwarz,Germany
442,Zhang Yiming,China
443,Susanne Klatten,Germany
444,Hui Ka Yan,China
445,Stefan Persson,Sweden
446,Vladimir Lisin,Russia
447,Rupert Murdoch,Australia
448,Li Shufu,China
449,Radha Krishna Damani,India
450,Jim Ratcliffe,UK
451,Ernesto Bertarelli,Switzerland
452,Alexey Mordashov,Russia
453,Tadashi Yanai,Japan
454,Vladimir Potanin,Russia
455,Liu Qiangdong,China
456,Rayan Mustafa Kamal,Bangladesh
457,Wang Wei,China
458,Li Hejun,China
459,Klaus-Michael Kuehne,Germany
460,Alisher Usmanov,Russia
461,Yang Huiyan,China
462,David Tepper,USA
463,Joseph Lau,Hong Kong
464,Giovanni Ferrero,Italy
465,Emmanuel Besnier,France
466,Vagit Alekperov,Russia
467,Donald Bren,USA
468,Ren Zhengfei,China
469,Lukas Walton,USA
470,Zhang Zhidong,China
471,Stefan Quandt,Germany
472,Jacqueline Mars,USA
473,John Mars,USA
474,Beate Heister & Karl Albrecht Jr.,Germany
475,Azim Premji,India
476,Leonid Mikhelson,Russia
477,Kirsten Rausing,UK
478,Leonard Lauder,USA
479,Kwong Siu-hing,Hong Kong
480,Ricardo Salinas Pliego,Mexico
481,Patrick Drahi,France
482,Theo Albrecht Jr. & Karl Albrecht,Germany
483,Charlene de Carvalho-Heineken,Netherlands
484,Viktor Vekselberg,Russia
485,Lui Che Woo,Hong Kong
486,John Menard Jr.,USA
487,Pierre Omidyar,USA
488,Gina Rinehart,Australia
489,Donald Newhouse,USA
490,Teddy Sagi,Israel
491,Anderson Silva,Brazil
492,Jon Jones,USA
493,Conor McGregor,Ireland
494,Fedor Emelianenko,Russia
495,Georges St-Pierre,Canada
496,Khabib Nurmagomedov,Russia
497,Cris Cyborg,Brazil
498,Amanda Nunes,Brazil
499,Israel Adesanya,New Zealand
500,Brock Lesnar,USA
501,Mirko Cro Cop,Croatia
502,Chuck Liddell,USA
503,Randy Couture,USA
504,Tito Ortiz,USA
505,Ronda Rousey,USA
506,Jose Aldo,Brazil
507,Daniel Cormier,USA
508,Stipe Miocic,USA
509,Nate Diaz,USA
510,Nick Diaz,USA
511,Cain Velasquez,USA
512,Anthony Joshua,UK
513,Tyson Fury,UK
514,Vladimir Klitschko,Ukraine
515,Manny Pacquiao,Philippines
516,Floyd Mayweather Jr.,USA
517,Canelo Alvarez,Mexico
518,Mike Tyson,USA
519,Roy Jones Jr.,USA
520,Oscar De La Hoya,USA
521,Evander Holyfield,USA
522,Wladimir Klitschko,Ukraine
523,Lennox Lewis,UK
524,Sugar Ray Leonard,USA
525,George Foreman,USA
526,Muhammad Ali,USA
527,Joe Frazier,USA
528,Jack Dempsey,USA
529,Rocky Marciano,USA
530,Sonny Liston,USA
531,Vitor Belfort,Brazil
532,Demetrious Johnson,USA
533,Antonio Rodrigo Nogueira,Brazil
534,Frank Mir,USA
535,Quinton Jackson,USA
536,Lyoto Machida,Brazil
537,Maurício Rua,Brazil
538,Tyson Pedro,Australia
539,Robert Whittaker,Australia
540,Mark Hunt,New Zealand
541,Dan Hooker,New Zealand
542,Kelvin Gastelum,USA
543,Alexander Volkanovski,Australia
544,Kamaru Usman,Nigeria
545,Francis Ngannou,Cameroon
546,Alistair Overeem,Netherlands
547,Stefan Struve,Netherlands
548,Ben Askren,USA
549,Holly Holm,USA
550,Valentina Shevchenko,Kyrgyzstan
551,Zhang Weili,China
552,Joanna Jędrzejczyk,Poland
553,Michelle Waterson,USA
554,Michael Chandler,USA
555,Justin Gaethje,USA
556,Tony Ferguson,USA
557,Leon Edwards,UK
558,Max Holloway,USA
559,Chan Sung Jung,South Korea
560,Paulo Costa,Brazil
561,Yoel Romero,Cuba
562,Jared Cannonier,USA
563,Darren Till,UK
564,Marvin Vettori,Italy
565,Khamzat Chimaev,Sweden
566,Colby Covington,USA
567,Jorge Masvidal,USA
568,Stephen Thompson,USA
569,Gilbert Burns,Brazil
570,Vicente Luque,Brazil
571,Neil Magny,USA
572,Michael Chiesa,USA
573,Carlos Condit,USA
574,Anthony Pettis,USA
575,Albert Einstein,Germany
576,Marie Curie,Poland
577,Stephen Hawking,UK
578,Jane Goodall,UK
579,Nikola Tesla,Serbia
580,Leonardo da Vinci,Italy
581,Isaac Newton,UK
582,Ada Lovelace,UK
583,Alan Turing,UK
584,Sigmund Freud,Austria
585,Charles Darwin,UK
586,Galileo Galilei,Italy
587,Michio Kaku,USA
588,Noam Chomsky,USA
589,J.K. Rowling,UK
590,Steve Jobs,USA
591,Tim Berners-Lee,UK
592,George Orwell,UK
593,William Shakespeare,UK
594,Salvador Dalí,Spain
595,Pablo Picasso,Spain
596,Albert Schweitzer,France
597,David Attenborough,UK
598,Neil deGrasse Tyson,USA
599,Michelangelo,Italy
600,Linus Torvalds,Finland
601,Shigeru Miyamoto,Japan
602,Ada Yonath,Israel
603,Grace Hopper,USA
604,Rosalind Franklin,UK
605,Alexander Fleming,UK
606,Jane Austen,UK
607,Isaac Asimov,Russia
608,George R.R. Martin,USA
609,Thomas Edison,USA
610,Charles Dickens,UK
611,Leo Tolstoy,Russia
612,Emily Dickinson,USA
613,J.R.R. Tolkien,UK
614,Agatha Christie,UK
615,Usain Bolt,Jamaica
616,Michael Phelps,USA
617,Simone Biles,USA
618,Haile Gebrselassie,Ethiopia
619,Yelena Isinbayeva,Russia
620,Carl Lewis,USA
621,Marit Bjørgen,Norway
622,Serena Williams,USA
623,Katie Ledecky,USA
624,Michael Johnson,USA
625,Allyson Felix,USA
626,Nadia Comăneci,Romania
627,LeBron James,USA
628,Nawal El Moutawakel,Morocco
629,Michael Jordan,USA
630,Shirley Babashoff,USA
631,Kerri Walsh Jennings,USA
632,Ashton Eaton,USA
633,Simone Manuel,USA
634,Kristin Otto,Germany
635,Katinka Hosszú,Hungary
636,Oprah Winfrey,USA
637,Angelina Jolie,USA
638,Beyoncé,USA
639,Taylor Swift,USA
640,Malala Yousafzai,Pakistan
641,Rihanna,Barbados
642,Michelle Obama,USA
643,Adele,UK
644,Shakira,Colombia
645,Queen Elizabeth II,UK
646,Amal Clooney,Lebanon
647,Greta Thunberg,Sweden
648,Ellen DeGeneres,USA
649,Hillary Clinton,USA
650,Meghan Markle,USA
651,Condoleezza Rice,USA
652,Emma Stone,USA
653,Christine Lagarde,France
654,Indra Nooyi,India
655,Tina Fey,USA
656,Marissa Mayer,USA
657,Nicole Kidman,Australia
658,Kamala Harris,USA
659,Meryl Streep,USA
660,Barbara Walters,USA
661,JK Rowling,UK
662,Mariah Carey,USA
663,Elizabeth Holmes,USA
664,Meg Whitman,USA
665,Reese Witherspoon,USA
666,Celine Dion,Canada
667,Gal Gadot,Israel
668,Naomi Campbell,UK
669,Madonna,USA
670,Emma Roberts,USA
671,Susan Wojcicki,USA
672,Lady Gaga,USA
673,Kim Kardashian,USA
674,Michelle Phan,USA
675,Ariana Grande,USA
676,Sofia Vergara,Colombia
677,Sandra Bullock,USA
678,Jessica Alba,USA
679,Kylie Jenner,USA
680,Sheryl Sandberg,USA
681,Kate Middleton,UK
682,Melinda Gates,USA
683,Anna Wintour,USA
684,Angie Martinez,USA
685,Joy Mangano,USA
686,Maya Angelou,USA
687,Arianna Huffington,Greece
688,Gabrielle Union,USA
689,Scarlett Johansson,USA
690,Anne Hathaway,USA
691,Julia Roberts,USA
692,Cate Blanchett,Australia
693,Helen Mirren,UK
694,Queen Rania of Jordan,Jordan
695,Michelle Williams,USA
696,Viola Davis,USA
697,Brie Larson,USA
698,Charlize Theron,South Africa
699,Kristen Stewart,USA
700,Julianne Moore,USA
701,Natalie Portman,USA
702,Halle Berry,USA
703,Maggie Smith,UK
704,Amy Adams,USA
705,Kate Blanchett,Australia
706,Julia Louis-Dreyfus,USA
707,Anna Kendrick,USA
708,Catherine Zeta-Jones,UK
709,Jennifer Lawrence,USA
710,Helena Bonham Carter,UK
711,Gwyneth Paltrow,USA
712,Jennifer Aniston,USA
713,Jessica Chastain,USA
714,Kate Beckinsale,UK
715,Rachel Weisz,UK
716,Naomi Watts,UK
717,Jennifer Garner,USA
718,Richard Branson,UK
719,Bernie Sanders,USA
720,Joe Biden,USA
721,Bill Clinton,USA
