ID,Name,Area
182,Manuel Neuer,Germany
183,Bastian Schweinsteiger,Germany
184,Franz Beckenbauer,Germany
185,Jürgen Klopp,Germany
186,Oliver Kahn,Germany
187,Priyanka Chopra,India
188,Shah Rukh Khan,India
189,Deepika Padukone,India
190,Amitabh Bachchan,India
191,Aishwarya Rai,India
192,Kareena Kapoor,India
193,Salman Khan,India
194,Alia Bhatt,India
195,Katrina Kaif,India
196,Jackie Chan,China
197,Fan Bingbing,China
198,Jet Li,China
199,Donnie Yen,China
200,Li Bingbing,China
201,Chow Yun-fat,China
202,Zhang Ziyi,China
203,Jay Chou,China
204,Stephen Chow,China
205,Andy Lau,China
206,Sophia Loren,Italy
207,Monica Bellucci,Italy
208,Giancarlo Giannini,Italy
209,Marcello Mastroianni,Italy
210,Gina Lollobrigida,Italy
211,Monica Vitti,Italy
212,Claudia Cardinale,Italy
213,Marion Cotillard,France
214,Catherine Deneuve,France
215,Juliette Binoche,France
216,Brigitte Bardot,France
217,Isabelle Huppert,France
218,Alain Delon,France
219,Monica Bellucci,France
220,Léa Seydoux,France
221,Mélanie Laurent,France
222,Rafael Nadal,Spain
223,Rosalia,Spain
224,Penélope Cruz,Spain
225,Pedro Almodóvar,Spain
226,Enrique Iglesias,Spain
227,Sergio Ramos,Spain
228,Javier Bardem,Spain
229,Lee Jun-ki,North Europe
230,Jens Stoltenberg,North Europe
231,Erna Solberg,North Europe
232,Jacinda Ardern,North Europe
233,Angela Merkel,North Europe
234,Mette Frederiksen,North Europe
235,Li Bingbing,Korea
236,Lee Min-ho,Korea
237,Lee Byung-hun,Korea
238,Lee Jong-suk,Korea
239,Park Bo-gum,Korea
240,Gong Yoo,Korea
241,Vladimir Putin,Russia
242,Dmitry Medvedev,Russia
243,Tony Fernandes,South East Asia
244,Anthony Tan,South East Asia
1,Angela Merkel,Germany
2,Barack Obama,USA
3,Vladimir Putin,Russia
4,Shinzo Abe,Japan
5,Tony Blair,UK
6,Jacques Chirac,France
7,Narendra Modi,India
8,Joko Widodo,Indonesia
9,Justin Trudeau,Canada
10,Benjamin Netanyahu,Israel
11,Recep Tayyip Erdoğan,Turkey
12,George W. Bush,USA
13,Hu Jintao,China
14,Boris Johnson,UK
15,Aung San Suu Kyi,Myanmar
16,Fidel Castro,Cuba
17,Albert II,Monaco
18,Angélica Rivera,Mexico
19,Nelson Mandela,South Africa
20,Shimon Peres,Israel
21,Emmanuel Macron,France
22,Donald Trump,USA
23,Shinzo Abe,Japan
24,Angela Merkel,Germany
25,Narendra Modi,India
26,Justin Trudeau,Canada
27,Vladimir Putin,Russia
28,Benjamin Netanyahu,Israel
29,Recep Tayyip Erdoğan,Turkey
30,Jacinda Ardern,New Zealand
31,Joko Widodo,Indonesia
32,Xi Jinping,China
33,Jair Bolsonaro,Brazil
34,Theresa May,UK
35,Abdel Fattah el-Sisi,Egypt
36,Moon Jae-in,South Korea
37,Mahathir Mohamad,Malaysia
38,Enrique Peña Nieto,Mexico
39,King Abdullah II,Jordan
40,Imran Khan,Pakistan
41,Abiy Ahmed,Ethiopia
42,Scott Morrison,Australia
43,Hassan Rouhani,Iran
44,Emmerson Mnangagwa,Zimbabwe
45,Andrés Manuel López Obrador,Mexico
46,Leo Varadkar,Ireland
47,Khalifa bin Zayed Al Nahyan,United Arab Emirates
48,Paul Kagame,Rwanda
49,Salman bin Abdulaziz Al Saud,Saudi Arabia
50,Albert II,Monaco
51,Gotabaya Rajapaksa,Sri Lanka
52,Donald Tusk,Poland
53,Andrzej Duda,Poland
54,Ivan Duque,Colombia
55,Albert II,Belgium
56,Moon Jae-in,South Korea
57,Haitham bin Tariq Al Said,Oman
58,Carlos Alvarado Quesada,Costa Rica
59,Lee Hsien Loong,Singapore
60,Miguel Díaz-Canel,Cuba
61,Nicolás Maduro,Venezuela
62,Frank-Walter Steinmeier,Germany
63,Albert II,Monaco
64,King Salman bin Abdulaziz Al Saud,Saudi Arabia
65,Nana Akufo-Addo,Ghana
66,Prince Charles,UK
67,Hassanal Bolkiah,Brunei
68,Reuven Rivlin,Israel
69,Ram Nath Kovind,India
70,Mohammed VI,Morocco
71,Abdullah II of Jordan,Jordan
72,Sauli Niinistö,Finland
73,Abdelmadjid Tebboune,Algeria
74,Andrés Manuel López Obrador,Mexico
75,Andrés Manuel López Obrador,Mexico
76,Moon Jae-in,South Korea
77,Albert II,Monaco
78,Albert II,Monaco
79,King Abdullah II of Jordan,Jordan
80,Emmanuel Macron,France
81,Shinzo Abe,Japan
82,Imran Khan,Pakistan
83,Jair Bolsonaro,Brazil
84,Joko Widodo,Indonesia
85,Abdel Fattah el-Sisi,Egypt
86,Andrés Manuel López Obrador,Mexico
87,Prince Mohammed bin Salman,Saudi Arabia
88,Albert II,Monaco
1,Lionel Messi,Argentina
2,Cristiano Ronaldo,Portugal
3,Andrés Iniesta,Spain
4,Luka Modric,Croatia
5,Zinedine Zidane,France
6,Ronaldo Nazário,Brazil
7,Xavi Hernandez,Spain
8,Roberto Carlos,Brazil
9,Thierry Henry,France
10,Paolo Maldini,Italy
11,Sergio Ramos,Spain
12,Steven Gerrard,England
13,Andrea Pirlo,Italy
14,David Beckham,England
15,Kaka,Brazil
16,Ronaldinho,Brazil
17,Gianluigi Buffon,Italy
18,Andrea Barzagli,Italy
19,Carles Puyol,Spain
20,Alessandro Del Piero,Italy
21,Franz Beckenbauer,Germany
22,Diego Maradona,Argentina
23,Michel Platini,France
24,Zico,Brazil
25,Marco van Basten,Netherlands
26,Johan Cruyff,Netherlands
27,Franco Baresi,Italy
28,Eric Cantona,France
29,Fernando Hierro,Spain
30,Luís Figo,Portugal
31,George Weah,Liberia
32,Dennis Bergkamp,Netherlands
33,Romário,Brazil
34,Mario Kempes,Argentina
35,Hristo Stoichkov,Bulgaria
36,Lothar Matthäus,Germany
37,Gabriel Batistuta,Argentina
38,Marcus Rashford,England
39,Neymar,Brazil
40,Kylian Mbappé,France
41,Andres Guardado,Mexico
42,Roberto Baggio,Italy
43,Fabio Cannavaro,Italy
44,Luca Toni,Italy
45,Gareth Bale,Wales
46,Didier Drogba,Ivory Coast
47,Lev Yashin,Russia
48,Paul Pogba,France
49,Manuel Neuer,Germany
50,Franck Ribéry,France
51,Thomas Müller,Germany
52,Karl-Heinz Rummenigge,Germany
53,Davor Šuker,Croatia
54,Ruud Gullit,Netherlands
55,Javier Zanetti,Argentina
56,Michael Owen,England
57,Jurgen Klinsmann,Germany
58,Oliver Kahn,Germany
59,Rivaldo,Brazil
60,Johan Neeskens,Netherlands
61,Arjen Robben,Netherlands
62,Bastian Schweinsteiger,Germany
63,Marco Tardelli,Italy
64,Andriy Shevchenko,Ukraine
65,Philip Lahm,Germany
66,David Villa,Spain
67,Luis Suárez,Uruguay
68,François Pienaar,South Africa
69,Franz Beckenbauer,Germany
70,Zlatan Ibrahimović,Sweden
71,Landon Donovan,United States
72,Diego Forlán,Uruguay
73,Patrick Vieira,France
74,Petr Čech,Czech Republic
75,Clarence Seedorf,Netherlands
76,Javier Hernández,Mexico
77,Paul Scholes,England
78,Andriy Arshavin,Russia
79,Didier Deschamps,France
80,Giorgio Chiellini,Italy
81,Hernán Crespo,Argentina
82,Cafu,Brazil
83,Alessandro Nesta,Italy
84,Wayne Rooney,England
85,Jürgen Klinsmann,Germany
86,Harry Kane,England
87,Karim Benzema,France
88,Jerzy Dudek,Poland
89,Jürgen Kohler,Germany
90,Óscar Tabárez,Uruguay
91,Andriy Yarmolenko,Ukraine
92,Bernard Lama,France
93,Mario Balotelli,Italy
94,Fernando Torres,Spain
95,Robert Lewandowski,Poland
96,Kevin De Bruyne,Belgium
97,Eden Hazard,Belgium
98,Thomas Müller,Germany
99,Radamel Falcao,Colombia
100,Luis Suárez,Uruguay
1,Jeff Bezos,USA
2,Elon Musk,USA
3,Bill Gates,USA
4,Bernard Arnault,France
5,Warren Buffett,USA
6,Larry Ellison,USA
7,Larry Page,USA
8,Sergey Brin,USA
9,Mark Zuckerberg,USA
10,Mukesh Ambani,India
11,Steve Ballmer,USA
12,Amancio Ortega,Spain
13,Carlos Slim, Mexico
14,Michael Bloomberg,USA
15,Lakshmi Mittal,India
16,Françoise Bettencourt Meyers,France
17,Jack Ma,China
18,Phil Knight,USA
19,Jim Walton,USA
20,Alice Walton,USA
21,Rob Walton,USA
22,Michael Dell,USA
23,Sheldon Adelson,USA
24,Steve Cohen,USA
25,George Soros,Hungary
26,Charles Koch,USA
27,David Koch,USA
28,Jim Simons,USA
29,Leonardo Del Vecchio,Italy
30,Carl Icahn,USA
31,Len Blavatnik,UK
32,Joseph Safra,Brazil
33,MacKenzie Scott,USA
34,Abigail Johnson,USA
35,Li Ka-shing,Hong Kong
36,Jorge Paulo Lemann,Brazil
37,Ray Dalio,USA
38,Theo Albrecht Jr.,Germany
39,Lee Shau Kee,Hong Kong
40,Gennady Timchenko,Russia
41,Gautam Adani,India
42,Pony Ma,China
43,Laurene Powell Jobs,USA
44,He Xiangjian,China
45,Dieter Schwarz,Germany
46,Zhang Yiming,China
47,Susanne Klatten,Germany
48,Hui Ka Yan,China
49,Stefan Persson,Sweden
50,Vladimir Lisin,Russia
51,Rupert Murdoch,Australia
52,Li Shufu,China
53,Radha Krishna Damani,India
54,Jim Ratcliffe,UK
55,Ernesto Bertarelli,Switzerland
56,Alexey Mordashov,Russia
57,Tadashi Yanai,Japan
58,Vladimir Potanin,Russia
59,Liu Qiangdong,China
60,Rayan Mustafa Kamal,Bangladesh
61,Li Ka-shing,Hong Kong
62,Wang Wei,China
63,Li Hejun,China
64,Klaus-Michael Kuehne,Germany
65,Alisher Usmanov,Russia
66,Yang Huiyan,China
67,David Tepper,USA
68,Joseph Lau,Hong Kong
69,Giovanni Ferrero,Italy
70,Emmanuel Besnier,France
71,Vagit Alekperov,Russia
72,Donald Bren,USA
73,Ren Zhengfei,China
74,Lukas Walton,USA
75,Zhang Zhidong,China
76,Stefan Quandt,Germany
77,Jacqueline Mars,USA
78,John Mars,USA
79,Beate Heister & Karl Albrecht Jr.,Germany
80,Azim Premji,India
81,Leonid Mikhelson,Russia
82,Kirsten Rausing,UK
83,Leonard Lauder,USA
84,Laurene Powell Jobs,USA
85,Laurene Powell Jobs,USA
86,Kwong Siu-hing,Hong Kong
87,Ricardo Salinas Pliego,Mexico
88,Patrick Drahi,France
89,Theo Albrecht Jr. & Karl Albrecht,Germany
90,Charlene de Carvalho-Heineken,Netherlands
91,Lakshmi Mittal,India
92,Viktor Vekselberg,Russia
93,Stefan Persson,Sweden
94,Lui Che Woo,Hong Kong
95,John Menard Jr.,USA
96,Pierre Omidyar,USA
97,Gina Rinehart,Australia
98,Donald Newhouse,USA
99,Radha Krishna Damani,India
100,Teddy Sagi,Israel
1,Anderson Silva,Brazil
2,Jon Jones,USA
3,Conor McGregor,Ireland
4,Fedor Emelianenko,Russia
5,Georges St-Pierre,Canada
6,Khabib Nurmagomedov,Russia
7,Cris Cyborg,Brazil
8,Amanda Nunes,Brazil
9,Israel Adesanya,New Zealand
10,Brock Lesnar,USA
11,Mirko Cro Cop,Croatia
12,Chuck Liddell,USA
13,Randy Couture,USA
14,Tito Ortiz,USA
15,Ronda Rousey,USA
16,Jose Aldo,Brazil
17,Daniel Cormier,USA
18,Stipe Miocic,USA
19,Nate Diaz,USA
20,Nick Diaz,USA
21,Cain Velasquez,USA
22,Anthony Joshua,UK
23,Tyson Fury,UK
24,Vladimir Klitschko,Ukraine
25,Manny Pacquiao,Philippines
26,Floyd Mayweather Jr.,USA
27,Canelo Alvarez,Mexico
28,Mike Tyson,USA
29,Roy Jones Jr.,USA
30,Oscar De La Hoya,USA
31,Evander Holyfield,USA
32,Wladimir Klitschko,Ukraine
33,Lennox Lewis,UK
34,Sugar Ray Leonard,USA
35,George Foreman,USA
36,Muhammad Ali,USA
37,Joe Frazier,USA
38,Jack Dempsey,USA
39,Rocky Marciano,USA
40,Sonny Liston,USA
41,Vitor Belfort,Brazil
42,Demetrious Johnson,USA
43,Anderson Silva,Brazil
44,Antonio Rodrigo Nogueira,Brazil
45,Frank Mir,USA
46,Quinton Jackson,USA
47,Lyoto Machida,Brazil
48,Maurício Rua,Brazil
49,Tyson Pedro,Australia
50,Robert Whittaker,Australia
51,Mark Hunt,New Zealand
52,Dan Hooker,New Zealand
53,Kelvin Gastelum,USA
54,Robert Whittaker,Australia
55,Israel Adesanya,New Zealand
56,Alexander Volkanovski,Australia
57,Kamaru Usman,Nigeria
58,Francis Ngannou,Cameroon
59,Alistair Overeem,Netherlands
60,Stefan Struve,Netherlands
61,Daniel Cormier,USA
62,Ben Askren,USA
63,Holly Holm,USA
64,Valentina Shevchenko,Kyrgyzstan
65,Ronda Rousey,USA
66,Amanda Nunes,Brazil
67,Cris Cyborg,Brazil
68,Zhang Weili,China
69,Joanna Jędrzejczyk,Poland
70,Michelle Waterson,USA
71,Michael Chandler,USA
72,Khabib Nurmagomedov,Russia
73,Justin Gaethje,USA
74,Tony Ferguson,USA
75,Conor McGregor,Ireland
76,Nate Diaz,USA
77,Leon Edwards,UK
78,Max Holloway,USA
79,Chan Sung Jung,South Korea
80,Alexander Volkanovski,Australia
81,Israel Adesanya,New Zealand
82,Robert Whittaker,Australia
83,Paulo Costa,Brazil
84,Yoel Romero,Cuba
85,Kelvin Gastelum,USA
86,Jared Cannonier,USA
87,Darren Till,UK
88,Marvin Vettori,Italy
89,Khamzat Chimaev,Sweden
90,Colby Covington,USA
91,Jorge Masvidal,USA
92,Stephen Thompson,USA
93,Nick Diaz,USA
94,Leon Edwards,UK
95,Gilbert Burns,Brazil
96,Vicente Luque,Brazil
97,Neil Magny,USA
98,Michael Chiesa,USA
99,Carlos Condit,USA
100,Anthony Pettis,USA
1,Albert Einstein,Germany
2,Marie Curie,Poland
3,Stephen Hawking,UK
4,Jane Goodall,UK
5,Nikola Tesla,Serbia
6,Leonardo da Vinci,Italy
7,Isaac Newton,UK
8,Ada Lovelace,UK
9,Alan Turing,UK
10,Sigmund Freud,Austria
11,Charles Darwin,UK
12,Galileo Galilei,Italy
13,Michio Kaku,USA
14,Noam Chomsky,USA
15,J.K. Rowling,UK
16,Steve Jobs,USA
17,Bill Gates,USA
18,Mark Zuckerberg,USA
19,Tim Berners-Lee,UK
20,George Orwell,UK
21,William Shakespeare,UK
22,Salvador Dalí,Spain
23,Pablo Picasso,Spain
24,Albert Schweitzer,France
25,J.K. Rowling,UK
26,David Attenborough,UK
27,Neil deGrasse Tyson,USA
28,Michelangelo,Italy
29,Linus Torvalds,Finland
30,Shigeru Miyamoto,Japan
31,Ada Yonath,Israel
32,Grace Hopper,USA
33,Marie Curie,Poland
34,Ada Lovelace,UK
35,Ada Yonath,Israel
36,Rosalind Franklin,UK
37,Alexander Fleming,UK
38,Jane Austen,UK
39,George Orwell,UK
40,Isaac Asimov,Russia
41,George R.R. Martin,USA
42,Thomas Edison,USA
43,Marie Curie,Poland
44,Charles Dickens,UK
45,Leo Tolstoy,Russia
46,Emily Dickinson,USA
47,J.R.R. Tolkien,UK
48,Agatha Christie,UK
49,Elon Musk,USA
50,Jeff Bezos,USA
51,Marie Curie,Poland
52,Albert Einstein,Germany
53,Stephen Hawking,UK
54,Jane Goodall,UK
55,Nikola Tesla,Serbia
56,Leonardo da Vinci,Italy
57,Isaac Newton,UK
58,Ada Lovelace,UK
59,Alan Turing,UK
60,Sigmund Freud,Austria
61,Charles Darwin,UK
62,Galileo Galilei,Italy
63,Michio Kaku,USA
64,Noam Chomsky,USA
65,J.K. Rowling,UK
66,Steve Jobs,USA
67,Bill Gates,USA
68,Mark Zuckerberg,USA
69,Tim Berners-Lee,UK
70,George Orwell,UK
71,William Shakespeare,UK
72,Salvador Dalí,Spain
73,Pablo Picasso,Spain
74,Albert Schweitzer,France
75,J.K. Rowling,UK
76,David Attenborough,UK
77,Neil deGrasse Tyson,USA
78,Michelangelo,Italy
79,Linus Torvalds,Finland
80,Shigeru Miyamoto,Japan
81,Ada Yonath,Israel
82,Grace Hopper,USA
83,Marie Curie,Poland
84,Ada Lovelace,UK
85,Ada Yonath,Israel
86,Rosalind Franklin,UK
87,Alexander Fleming,UK
88,Jane Austen,UK
89,George Orwell,UK
90,Isaac Asimov,Russia
91,George R.R. Martin,USA
92,Thomas Edison,USA
93,Marie Curie,Poland
94,Charles Dickens,UK
95,Leo Tolstoy,Russia
96,Emily Dickinson,USA
97,J.R.R. Tolkien,UK
98,Agatha Christie,UK
99,Elon Musk,USA
100,Jeff Bezos,USA
1,Usain Bolt,Jamaica
2,Michael Phelps,USA
3,Simone Biles,USA
4,Haile Gebrselassie,Ethiopia
5,Yelena Isinbayeva,Russia
6,Carl Lewis,USA
7,Marit Bjørgen,Norway
8,Serena Williams,USA
9,Katie Ledecky,USA
10,Michael Johnson,USA
11,Allyson Felix,USA
12,Nadia Comăneci,Romania
13,LeBron James,USA
14,Nawal El Moutawakel,Morocco
15,Michael Jordan,USA
16,Shirley Babashoff,USA
17,Kerri Walsh Jennings,USA
18,Ashton Eaton,USA
19,Nawal El Moutawakel,Morocco
20,Usain Bolt,Jamaica
21,Simone Manuel,USA
22,Kristin Otto,Germany
23,Usain Bolt,Jamaica
24,Michael Phelps,USA
25,Katinka Hosszú,Hungary
26,Serena Williams,USA
27,Usain Bolt,Jamaica
28,Simone Biles,USA
29,Michael Phelps,USA
30,Yelena Isinbayeva,Russia
31,Haile Gebrselassie,Ethiopia
32,Carl Lewis,USA
33,Michael Johnson,USA
34,Usain Bolt,Jamaica
35,Simone Biles,USA
36,Haile Gebrselassie,Ethiopia
37,Michael Phelps,USA
38,Yelena Isinbayeva,Russia
39,Simone Biles,USA
40,Haile Gebrselassie,Ethiopia
41,Usain Bolt,Jamaica
42,Michael Phelps,USA
43,Simone Biles,USA
44,Haile Gebrselassie,Ethiopia
45,Yelena Isinbayeva,Russia
46,Carl Lewis,USA
47,Marit Bjørgen,Norway
48,Serena Williams,USA
49,Katie Ledecky,USA
50,Michael Johnson,USA
51,Allyson Felix,USA
52,Nadia Comăneci,Romania
53,LeBron James,USA
54,Nawal El Moutawakel,Morocco
55,Michael Jordan,USA
56,Shirley Babashoff,USA
57,Kerri Walsh Jennings,USA
58,Ashton Eaton,USA
59,Nawal El Moutawakel,Morocco
60,Usain Bolt,Jamaica
61,Simone Manuel,USA
62,Kristin Otto,Germany
63,Usain Bolt,Jamaica
64,Michael Phelps,USA
65,Katinka Hosszú,Hungary
66,Serena Williams,USA
67,Usain Bolt,Jamaica
68,Simone Biles,USA
69,Michael Phelps,USA
70,Yelena Isinbayeva,Russia
71,Haile Gebrselassie,Ethiopia
72,Carl Lewis,USA
73,Michael Johnson,USA
74,Usain Bolt,Jamaica
75,Simone Biles,USA
76,Haile Gebrselassie,Ethiopia
77,Michael Phelps,USA
78,Yelena Isinbayeva,Russia
79,Simone Biles,USA
80,Haile Gebrselassie,Ethiopia
81,Usain Bolt,Jamaica
82,Michael Phelps,USA
83,Simone Biles,USA
84,Haile Gebrselassie,Ethiopia
85,Yelena Isinbayeva,Russia
86,Carl Lewis,USA
87,Marit Bjørgen,Norway
88,Serena Williams,USA
89,Katie Ledecky,USA
90,Michael Johnson,USA
91,Allyson Felix,USA
92,Nadia Comăneci,Romania
93,LeBron James,USA
94,Nawal El Moutawakel,Morocco
95,Michael Jordan,USA
96,Shirley Babashoff,USA
97,Kerri Walsh Jennings,USA
98,Ashton Eaton,USA
99,Nawal El Moutawakel,Morocco
100,Usain Bolt,Jamaica
1,Oprah Winfrey,USA
2,Angelina Jolie,USA
3,Emma Watson,UK
4,Aung San Suu Kyi,Myanmar
5,J.K. Rowling,UK
6,Beyoncé,USA
7,Taylor Swift,USA
8,Malala Yousafzai,Pakistan
9,Rihanna,Barbados
10,Michelle Obama,USA
11,Adele,UK
12,Shakira,Colombia
13,Queen Elizabeth II,UK
14,Amal Clooney,Lebanon
15,Greta Thunberg,Sweden
16,Ellen DeGeneres,USA
17,Hillary Clinton,USA
18,Emma Thompson,UK
19,Meghan Markle,USA
20,Condoleezza Rice,USA
21,Emma Stone,USA
22,Christine Lagarde,France
23,Indra Nooyi,India
24,Tina Fey,USA
25,Marissa Mayer,USA
26,Nicole Kidman,Australia
27,Serena Williams,USA
28,Kamala Harris,USA
29,Meryl Streep,USA
30,Jacinda Ardern,New Zealand
31,Barbara Walters,USA
32,JK Rowling,UK
33,Mariah Carey,USA
34,Elizabeth Holmes,USA
35,Meg Whitman,USA
36,Reese Witherspoon,USA
37,Celine Dion,Canada
38,Gal Gadot,Israel
39,Naomi Campbell,UK
40,Madonna,USA
41,Emma Roberts,USA
42,Susan Wojcicki,USA
43,Serena Williams,USA
44,Lady Gaga,USA
45,Kim Kardashian,USA
46,Michelle Phan,USA
47,Ariana Grande,USA
48,Taylor Swift,USA
49,Sofia Vergara,Colombia
50,Sandra Bullock,USA
51,Jessica Alba,USA
52,Kylie Jenner,USA
53,Sheryl Sandberg,USA
54,Angela Merkel,Germany
55,Michelle Obama,USA
56,Emma Watson,UK
57,Emma Stone,USA
58,Taylor Swift,USA
59,Beyoncé,USA
60,Kate Middleton,UK
61,Queen Elizabeth II,UK
62,Melinda Gates,USA
63,Serena Williams,USA
64,Hillary Clinton,USA
65,Oprah Winfrey,USA
66,Anna Wintour,USA
67,Shakira,Colombia
68,Malala Yousafzai,Pakistan
69,Greta Thunberg,Sweden
70,Marissa Mayer,USA
71,Indra Nooyi,India
72,Angie Martinez,USA
73,Naomi Campbell,UK
74,Joy Mangano,USA
75,Maya Angelou,USA
76,Amal Clooney,Lebanon
77,Sheryl Sandberg,USA
78,Christine Lagarde,France
79,Condoleezza Rice,USA
80,Arianna Huffington,Greece
81,Kate Winslet,UK
82,Nicole Kidman,Australia
83,Gabrielle Union,USA
84,Scarlett Johansson,USA
85,Anne Hathaway,USA
86,Julia Roberts,USA
87,Cate Blanchett,Australia
88,Kate Middleton,UK
89,Helen Mirren,UK
